op,room_base,room_raw,stage,round,seq_in_room,sender,receiver,is_broadcast,bytes,participants_k
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,1,2,1,1,14393,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,1,2,3,1,14393,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,2,1,2,1,14416,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,2,1,3,1,14416,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,3,3,1,1,14380,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,3,3,2,1,14380,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,4,2,1,1,331,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,4,2,3,1,331,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,5,1,2,1,332,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,5,1,3,1,332,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,6,3,1,1,329,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,1,6,3,2,1,329,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,2,7,1,2,0,545,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,2,8,1,3,0,554,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,2,9,2,1,0,552,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,2,10,2,3,0,549,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,2,11,3,1,0,559,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,3,12,1,2,1,544,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,3,12,1,3,1,544,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,3,13,3,2,0,548,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,4,14,2,1,1,534,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,4,14,2,3,1,534,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,4,15,3,1,1,540,3
dkg,dkg_room_1768484516180-10749-1-1926227591,dkg_room_1768484516180-10749-1-1926227591,,4,15,3,2,1,540,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,1,1,2,1,1,14392,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,1,1,2,3,1,14392,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,1,2,1,2,1,14431,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,1,2,1,3,1,14431,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,1,3,3,1,1,14401,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,1,3,3,2,1,14401,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,2,4,3,1,1,337,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,2,4,3,2,1,337,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,2,5,2,1,1,329,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,2,5,2,3,1,329,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,2,6,1,2,1,332,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,2,6,1,3,1,332,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,3,7,3,1,0,558,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,3,8,3,2,0,558,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,3,9,2,1,0,548,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,3,10,2,3,0,548,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,3,11,1,2,0,548,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,3,12,1,3,0,553,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,4,13,2,1,1,542,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,4,13,2,3,1,542,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,4,14,3,1,1,536,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,4,14,3,2,1,536,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,4,15,1,2,1,538,3
dkg,dkg_room_1768484516621-10749-2-92306800,dkg_room_1768484516621-10749-2-92306800,,4,15,1,3,1,538,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,1,1,3,1,1,14395,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,1,1,3,2,1,14395,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,1,2,2,1,1,14429,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,1,2,2,3,1,14429,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,1,3,1,2,1,14405,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,1,3,1,3,1,14405,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,2,4,2,1,1,329,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,2,4,2,3,1,329,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,2,5,3,1,1,333,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,2,5,3,2,1,333,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,2,6,1,2,1,339,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,2,6,1,3,1,339,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,3,7,3,1,0,555,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,3,8,3,2,0,557,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,3,9,2,1,0,555,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,3,10,2,3,0,553,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,3,11,1,2,0,551,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,3,12,1,3,0,557,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,4,13,2,1,1,537,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,4,13,2,3,1,537,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,4,14,3,1,1,540,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,4,14,3,2,1,540,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,4,15,1,2,1,546,3
dkg,dkg_room_1768484517074-10749-3-2373417685,dkg_room_1768484517074-10749-3-2373417685,,4,15,1,3,1,546,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,1,1,2,1,1,14367,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,1,1,2,3,1,14367,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,1,2,3,1,1,14399,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,1,2,3,2,1,14399,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,1,3,1,2,1,14365,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,1,3,1,3,1,14365,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,2,4,3,1,1,330,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,2,4,3,2,1,330,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,2,5,2,1,1,334,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,2,5,2,3,1,334,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,2,6,1,2,1,333,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,2,6,1,3,1,333,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,3,7,3,1,0,551,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,3,8,1,2,0,550,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,3,9,2,1,0,555,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,3,10,2,3,0,559,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,3,11,1,3,0,549,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,3,12,3,2,0,555,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,4,13,3,1,1,529,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,4,13,3,2,1,529,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,4,14,1,2,1,538,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,4,14,1,3,1,538,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,4,15,2,1,1,550,3
dkg,dkg_room_1768484517459-10749-4-2809310353,dkg_room_1768484517459-10749-4-2809310353,,4,15,2,3,1,550,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,1,1,1,2,1,14343,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,1,1,1,3,1,14343,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,1,2,3,1,1,14425,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,1,2,3,2,1,14425,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,1,3,2,1,1,14386,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,1,3,2,3,1,14386,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,4,1,2,1,328,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,4,1,3,1,328,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,5,3,1,1,334,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,5,3,2,1,334,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,6,2,1,1,338,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,2,6,2,3,1,338,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,7,3,1,0,550,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,8,2,1,0,551,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,9,3,2,0,548,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,10,2,3,0,553,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,11,1,2,0,549,3
dkg,dkg_room_1768484517855-10749-5-2296016107,dkg_room_1768484517855-10749-5-2296016107,,3,12,1,3,0,538,3
