op,room_base,room_raw,stage,round,seq_in_room,sender,receiver,is_broadcast,bytes,participants_k
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,1,4,1,1,14420,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,1,4,2,1,14420,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,1,4,3,1,14420,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,2,2,1,1,14360,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,2,2,3,1,14360,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,2,2,4,1,14360,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,3,3,1,1,14403,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,3,3,2,1,14403,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,3,3,4,1,14403,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,4,1,2,1,14449,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,4,1,3,1,14449,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,4,1,4,1,14449,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,5,3,1,1,341,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,5,3,2,1,341,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,5,3,4,1,341,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,6,2,1,1,337,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,6,2,3,1,337,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,6,2,4,1,337,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,7,4,1,1,341,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,7,4,2,1,341,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,7,4,3,1,341,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,8,1,2,1,328,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,8,1,3,1,328,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,1,8,1,4,1,328,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,9,4,1,0,694,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,10,1,2,0,696,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,11,4,2,0,699,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,12,4,3,0,698,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,13,1,3,0,697,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,14,1,4,0,688,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,15,2,1,0,698,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,16,2,3,0,701,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,17,3,1,0,708,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,18,2,4,0,698,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,2,19,3,2,0,712,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,3,20,1,2,1,535,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,3,20,1,3,1,535,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,3,20,1,4,1,535,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,3,21,3,4,0,717,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,4,22,4,1,1,536,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,4,22,4,2,1,536,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,4,22,4,3,1,536,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,4,23,3,1,1,544,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,4,23,3,2,1,544,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,4,23,3,4,1,544,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,4,24,2,1,1,544,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,4,24,2,3,1,544,4
dkg,dkg_room_1768580866118-29397-1-177139644,dkg_room_1768580866118-29397-1-177139644,,4,24,2,4,1,544,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,1,2,1,1,14379,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,1,2,3,1,14379,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,1,2,4,1,14379,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,2,4,1,1,14444,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,2,4,2,1,14444,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,2,4,3,1,14444,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,3,3,1,1,14373,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,3,3,2,1,14373,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,3,3,4,1,14373,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,4,1,2,1,14421,4
dkg,dkg_room_1768580866584-29397-2-1084730068,dkg_room_1768580866584-29397-2-1084730068,,1,4,1,3,1,14421,4
