op,room_base,node,uplink_bytes,downlink_bytes,total_bytes
dkg,dkg_room_1768580866118-29397-1-177139644,1,48017,47926,95943
dkg,dkg_room_1768580866118-29397-1-177139644,2,47820,48004,95824
dkg,dkg_room_1768580866118-29397-1-177139644,3,48001,47946,95947
dkg,dkg_room_1768580866118-29397-1-177139644,4,47982,47944,95926
dkg,dkg_room_1768580866584-29397-2-1084730068,1,47940,47940,95880
dkg,dkg_room_1768580866584-29397-2-1084730068,2,47842,47968,95810
dkg,dkg_room_1768580866584-29397-2-1084730068,3,47880,47959,95839
dkg,dkg_room_1768580866584-29397-2-1084730068,4,48084,47879,95963
dkg,dkg_room_1768580866970-29397-3-97835145,1,48121,47988,96109
dkg,dkg_room_1768580866970-29397-3-97835145,2,47994,48018,96012
dkg,dkg_room_1768580866970-29397-3-97835145,3,47900,48051,95951
dkg,dkg_room_1768580866970-29397-3-97835145,4,48049,48007,96056
dkg,dkg_room_1768580867560-29397-4-234604404,1,47797,47830,95627
dkg,dkg_room_1768580867560-29397-4-234604404,2,47849,47813,95662
dkg,dkg_room_1768580867560-29397-4-234604404,3,47839,47808,95647
dkg,dkg_room_1768580867560-29397-4-234604404,4,47793,47827,95620
dkg,dkg_room_1768580868062-29397-5-2045414897,1,47972,47947,95919
dkg,dkg_room_1768580868062-29397-5-2045414897,2,48010,47939,95949
dkg,dkg_room_1768580868062-29397-5-2045414897,3,47947,47961,95908
dkg,dkg_room_1768580868062-29397-5-2045414897,4,47890,47972,95862
dkg,dkg_room_1768580868475-29397-6-2845210560,1,47880,47919,95799
dkg,dkg_room_1768580868475-29397-6-2845210560,2,47883,47924,95807
dkg,dkg_room_1768580868475-29397-6-2845210560,3,48057,47861,95918
dkg,dkg_room_1768580868475-29397-6-2845210560,4,47830,47946,95776
dkg,dkg_room_1768580868879-29397-7-1654620659,1,47927,47922,95849
dkg,dkg_room_1768580868879-29397-7-1654620659,2,47966,47912,95878
dkg,dkg_room_1768580868879-29397-7-1654620659,3,47898,47925,95823
dkg,dkg_room_1768580868879-29397-7-1654620659,4,47903,47935,95838
dkg,dkg_room_1768580869306-29397-8-170245443,1,47909,47898,95807
dkg,dkg_room_1768580869306-29397-8-170245443,2,47974,47878,95852
dkg,dkg_room_1768580869306-29397-8-170245443,3,47895,47907,95802
dkg,dkg_room_1768580869306-29397-8-170245443,4,47839,47934,95773
dkg,dkg_room_1768580869741-29397-9-236029937,1,47936,47897,95833
dkg,dkg_room_1768580869741-29397-9-236029937,2,48056,47863,95919
dkg,dkg_room_1768580869741-29397-9-236029937,3,47818,47933,95751
dkg,dkg_room_1768580869741-29397-9-236029937,4,47827,47944,95771
dkg,dkg_room_1768580870186-29397-10-1015816626,1,47721,47961,95682
dkg,dkg_room_1768580870186-29397-10-1015816626,2,47892,47903,95795
dkg,dkg_room_1768580870186-29397-10-1015816626,3,48054,47851,95905
dkg,dkg_room_1768580870186-29397-10-1015816626,4,47933,47885,95818
dkg,dkg_room_1768580870690-29397-11-2610725853,1,48083,47915,95998
dkg,dkg_room_1768580870690-29397-11-2610725853,2,48063,47905,95968
dkg,dkg_room_1768580870690-29397-11-2610725853,3,47808,48010,95818
dkg,dkg_room_1768580870690-29397-11-2610725853,4,47853,47977,95830
dkg,dkg_room_1768580871183-29397-12-522511503,1,47672,47915,95587
dkg,dkg_room_1768580871183-29397-12-522511503,2,47729,47883,95612
dkg,dkg_room_1768580871183-29397-12-522511503,3,48035,47783,95818
dkg,dkg_room_1768580871183-29397-12-522511503,4,47954,47809,95763
dkg,dkg_room_1768580871593-29397-13-2194222082,1,47951,47891,95842
dkg,dkg_room_1768580871593-29397-13-2194222082,2,47941,47908,95849
dkg,dkg_room_1768580871593-29397-13-2194222082,3,47838,47941,95779
dkg,dkg_room_1768580871593-29397-13-2194222082,4,47925,47915,95840
dkg,dkg_room_1768580871992-29397-14-832430025,1,48002,47986,95988
dkg,dkg_room_1768580871992-29397-14-832430025,2,48104,47954,96058
dkg,dkg_room_1768580871992-29397-14-832430025,3,47850,48050,95900
dkg,dkg_room_1768580871992-29397-14-832430025,4,48029,47995,96024
dkg,dkg_room_1768580872387-29397-15-1321827872,1,48028,48010,96038
dkg,dkg_room_1768580872387-29397-15-1321827872,2,47915,48040,95955
dkg,dkg_room_1768580872387-29397-15-1321827872,3,47938,48034,95972
dkg,dkg_room_1768580872387-29397-15-1321827872,4,48160,47957,96117
dkg,dkg_room_1768580872826-29397-16-271701372,1,47910,47931,95841
dkg,dkg_room_1768580872826-29397-16-271701372,2,47969,47915,95884
dkg,dkg_room_1768580872826-29397-16-271701372,3,47933,47926,95859
dkg,dkg_room_1768580872826-29397-16-271701372,4,47897,47937,95834
dkg,dkg_room_1768580873239-29397-17-2164617729,1,47897,47981,95878
dkg,dkg_room_1768580873239-29397-17-2164617729,2,47995,47939,95934
dkg,dkg_room_1768580873239-29397-17-2164617729,3,47979,47938,95917
dkg,dkg_room_1768580873239-29397-17-2164617729,4,47946,47959,95905
dkg,dkg_room_1768580873674-29397-18-3220651,1,48012,47895,95907
dkg,dkg_room_1768580873674-29397-18-3220651,2,47898,47935,95833
dkg,dkg_room_1768580873674-29397-18-3220651,3,47907,47923,95830
dkg,dkg_room_1768580873674-29397-18-3220651,4,47871,47935,95806
dkg,dkg_room_1768580874025-29397-19-1534412313,1,48020,47904,95924
dkg,dkg_room_1768580874025-29397-19-1534412313,2,47794,47983,95777
dkg,dkg_room_1768580874025-29397-19-1534412313,3,47911,47934,95845
dkg,dkg_room_1768580874025-29397-19-1534412313,4,48002,47906,95908
dkg,dkg_room_1768580874483-29397-20-423825383,1,47981,47991,95972
dkg,dkg_room_1768580874483-29397-20-423825383,2,47957,47995,95952
dkg,dkg_room_1768580874483-29397-20-423825383,3,48029,47969,95998
dkg,dkg_room_1768580874483-29397-20-423825383,4,47990,48002,95992
sign,signing_room_1768580885823-30117-1-1440725301,1,75173,75043,150216
sign,signing_room_1768580885823-30117-1-1440725301,2,75069,75032,150101
