op,room_base,node,uplink_bytes,downlink_bytes,total_bytes
dkg,dkg_room_1768484516180-10749-1-1926227591,1,31683,31618,63301
dkg,dkg_room_1768484516180-10749-1-1926227591,2,31617,31634,63251
dkg,dkg_room_1768484516180-10749-1-1926227591,3,31605,31653,63258
dkg,dkg_room_1768484516621-10749-2-92306800,1,31703,31643,63346
dkg,dkg_room_1768484516621-10749-2-92306800,2,31622,31681,63303
dkg,dkg_room_1768484516621-10749-2-92306800,3,31664,31665,63329
dkg,dkg_room_1768484517074-10749-3-2373417685,1,31688,31673,63361
dkg,dkg_room_1768484517074-10749-3-2373417685,2,31698,31666,63364
dkg,dkg_room_1768484517074-10749-3-2373417685,3,31648,31695,63343
dkg,dkg_room_1768484517459-10749-4-2809310353,1,31571,31615,63186
dkg,dkg_room_1768484517459-10749-4-2809310353,2,31616,31599,63215
dkg,dkg_room_1768484517459-10749-4-2809310353,3,31622,31595,63217
dkg,dkg_room_1768484517855-10749-5-2296016107,1,31507,31666,63173
dkg,dkg_room_1768484517855-10749-5-2296016107,2,31628,31610,63238
dkg,dkg_room_1768484517855-10749-5-2296016107,3,31704,31563,63267
dkg,dkg_room_1768484518261-10749-6-268872890,1,31613,31689,63302
dkg,dkg_room_1768484518261-10749-6-268872890,2,31681,31655,63336
dkg,dkg_room_1768484518261-10749-6-268872890,3,31696,31646,63342
dkg,dkg_room_1768484518656-10749-7-3157714961,1,31656,31694,63350
dkg,dkg_room_1768484518656-10749-7-3157714961,2,31733,31657,63390
dkg,dkg_room_1768484518656-10749-7-3157714961,3,31656,31694,63350
dkg,dkg_room_1768484519052-10749-8-2828928211,1,31624,31707,63331
dkg,dkg_room_1768484519052-10749-8-2828928211,2,31699,31668,63367
dkg,dkg_room_1768484519052-10749-8-2828928211,3,31715,31663,63378
dkg,dkg_room_1768484519405-10749-9-209356944,1,31626,31625,63251
dkg,dkg_room_1768484519405-10749-9-209356944,2,31606,31635,63241
dkg,dkg_room_1768484519405-10749-9-209356944,3,31648,31620,63268
dkg,dkg_room_1768484519819-10749-10-234601939,1,31669,31636,63305
dkg,dkg_room_1768484519819-10749-10-234601939,2,31640,31641,63281
dkg,dkg_room_1768484519819-10749-10-234601939,3,31625,31657,63282
dkg,dkg_room_1768484520161-10749-11-3133713012,1,31771,31641,63412
dkg,dkg_room_1768484520161-10749-11-3133713012,2,31612,31716,63328
dkg,dkg_room_1768484520161-10749-11-3133713012,3,31668,31694,63362
dkg,dkg_room_1768484520547-10749-12-2385322733,1,31611,31632,63243
dkg,dkg_room_1768484520547-10749-12-2385322733,2,31613,31635,63248
dkg,dkg_room_1768484520547-10749-12-2385322733,3,31656,31613,63269
dkg,dkg_room_1768484520886-10749-13-140620550,1,31629,31647,63276
dkg,dkg_room_1768484520886-10749-13-140620550,2,31653,31638,63291
