iter,ts_ms,endpoint,http_code,latency_ms,request_index
1,1768374291886,dkg,200,1563,1768374291886-50196-1-335331796
2,1768374293664,dkg,200,1600,1768374293663-50196-2-2679516489
3,1768374295478,dkg,200,1548,1768374295477-50196-3-1878828257
4,1768374297239,dkg,200,1562,1768374297238-50196-4-1321425064
5,1768374299016,dkg,200,1676,1768374299015-50196-5-226656087
6,1768374300909,dkg,200,1629,1768374300907-50196-6-319215927
7,1768374302753,dkg,200,1718,1768374302751-50196-7-2444031184
8,1768374304684,dkg,200,1608,1768374304684-50196-8-960120995
9,1768374306509,dkg,200,1891,1768374306508-50196-9-2988716319
10,1768374308617,dkg,200,2141,1768374308615-50196-10-1763720230
11,1768374310974,dkg,200,2122,1768374310973-50196-11-1537532543
12,1768374315067,dkg,200,2099,1768374315066-50196-12-272132836
13,1768374317381,dkg,200,2017,1768374317380-50196-13-2019429168
14,1768374319612,dkg,200,2080,1768374319611-50196-14-106809649
15,1768374321907,dkg,200,2075,1768374321906-50196-15-301941403
16,1768374324197,dkg,200,1966,1768374324196-50196-16-11376386
17,1768374326377,dkg,200,2183,1768374326376-50196-17-275828556
18,1768374328776,dkg,200,2007,1768374328776-50196-18-1143027696
19,1768374330998,dkg,200,2216,1768374330997-50196-19-246205605
20,1768374333430,dkg,200,2010,1768374333429-50196-20-2337721671
