iter,ts_ms,endpoint,http_code,latency_ms,request_index
1,1768484516181,dkg,200,196,1768484516180-10749-1-1926227591
2,1768484516622,dkg,200,239,1768484516621-10749-2-92306800
3,1768484517074,dkg,200,172,1768484517074-10749-3-2373417685
4,1768484517459,dkg,200,180,1768484517459-10749-4-2809310353
5,1768484517856,dkg,200,192,1768484517855-10749-5-2296016107
6,1768484518262,dkg,200,182,1768484518261-10749-6-268872890
7,1768484518657,dkg,200,182,1768484518656-10749-7-3157714961
8,1768484519053,dkg,200,139,1768484519052-10749-8-2828928211
9,1768484519406,dkg,200,200,1768484519405-10749-9-209356944
10,1768484519820,dkg,200,128,1768484519819-10749-10-234601939
11,1768484520162,dkg,200,171,1768484520161-10749-11-3133713012
12,1768484520549,dkg,200,123,1768484520547-10749-12-2385322733
13,1768484520887,dkg,200,138,1768484520886-10749-13-140620550
14,1768484521240,dkg,200,218,1768484521239-10749-14-2384226577
15,1768484521672,dkg,200,107,1768484521671-10749-15-1456412974
16,1768484521993,dkg,200,175,1768484521992-10749-16-3077613953
17,1768484522382,dkg,200,151,1768484522381-10749-17-56388695
18,1768484522746,dkg,200,178,1768484522745-10749-18-2014720572
19,1768484523138,dkg,200,154,1768484523137-10749-19-2862429965
20,1768484523505,dkg,200,217,1768484523504-10749-20-1715216120
